time;class;plot;ssy;zone
201808;S1;S1_a;317,92;1
201808;S1;S1_b;366,21;1
201808;S1;S1_c;572,94;1
201808;S2;S2_a;89,4;2
201808;S2;S2_b;506,75;2
201808;S2;S2_c;246,58;2
201808;S3;S3_a;217,96;3
201808;S3;S3_b;226,92;3
201808;S3;S3_c;295,64;3
201808;S4;S4_a;;3
201808;S4;S4_b;;3
201808;S4;S4_c;;3
201808;S5;S5_a;132,76;4
201808;S5;S5_b;159,18;4
201808;S5;S5_c;48,13;4
201808;S6;S6_a;4,26;4
201808;S6;S6_b;28,59;4
201808;S6;S6_c;2,25;4
201809;S1;S1_a;156,22;1
201809;S1;S1_b;190,11;1
201809;S1;S1_c;288,57;1
201809;S2;S2_a;61,93;2
201809;S2;S2_b;254,05;2
201809;S2;S2_c;50,74;2
201809;S3;S3_a;69,56;3
201809;S3;S3_b;127,72;3
201809;S3;S3_c;133,08;3
201809;S4;S4_a;39,28;3
201809;S4;S4_b;40,07;3
201809;S4;S4_c;42,92;3
201809;S5;S5_a;25,94;4
201809;S5;S5_b;32,23;4
201809;S5;S5_c;28,04;4
201809;S6;S6_a;0;4
201809;S6;S6_b;0;4
201809;S6;S6_c;0;4
201810;S1;S1_a;32,54;1
201810;S1;S1_b;41,86;1
201810;S1;S1_c;68,96;1
201810;S2;S2_a;21,13;2
201810;S2;S2_b;79,93;2
201810;S2;S2_c;24,23;2
201810;S3;S3_a;26,14;3
201810;S3;S3_b;30,98;3
201810;S3;S3_c;40,21;3
201810;S4;S4_a;27,77;3
201810;S4;S4_b;27,74;3
201810;S4;S4_c;26,75;3
201810;S5;S5_a;5,29;4
201810;S5;S5_b;8,97;4
201810;S5;S5_c;6,02;4
201810;S6;S6_a;1,28;4
201810;S6;S6_b;1,24;4
201810;S6;S6_c;0,94;4
201908;S1;S1_a;331,01;1
201908;S1;S1_b;301,23;1
201908;S1;S1_c;487,71;1
201908;S1;S1b_a;320,35;1
201908;S1;S1b_b;207,79;1
201908;S1;S1b_c;465,72;1
201908;S2;S2_a;124,04;2
201908;S2;S2_b;448,45;2
201908;S2;S2_c;372,43;2
201908;S2;S2b_a;;2
201908;S2;S2b_b;;2
201908;S2;S2b_c;;2
201908;S3;S3_a;110,87;3
201908;S3;S3_b;180,62;3
201908;S3;S3_c;175,67;3
201908;S3;S3b_a;;3
201908;S3;S3b_b;126,66;3
201908;S3;S3b_c;61,59;3
201908;S4;S4_a;;3
201908;S4;S4_b;;3
201908;S4;S4_c;;3
201908;S4;S4b_a;;3
201908;S4;S4b_b;;3
201908;S4;S4b_c;;3
201908;S5;S5_a;37,9;4
201908;S5;S5_b;39,85;4
201908;S5;S5_c;52,02;4
201908;S6;S6_a;0;4
201908;S6;S6_b;0;4
201908;S6;S6_c;0;4
201909;S1;S1_a;257,19;1
201909;S1;S1_b;209,13;1
201909;S1;S1_c;258,43;1
201909;S1;S1b_a;95,65;1
201909;S1;S1b_b;102,78;1
201909;S1;S1b_c;154,43;1
201909;S2;S2_a;36,41;2
201909;S2;S2_b;189;2
201909;S2;S2_c;53,95;2
201909;S2;S2b_a;127;2
201909;S2;S2b_b;95,51;2
201909;S2;S2b_c;77,42;2
201909;S3;S3_a;59,7;3
201909;S3;S3_b;138,93;3
201909;S3;S3_c;265,65;3
201909;S3;S3b_a;108,28;3
201909;S3;S3b_b;151,92;3
201909;S3;S3b_c;41,42;3
201909;S4;S4_a;119,69;3
201909;S4;S4_b;126;3
201909;S4;S4_c;24,85;3
201909;S4;S4b_a;41,23;3
201909;S4;S4b_b;39,75;3
201909;S4;S4b_c;98,53;3
201909;S5;S5_a;24,64;4
201909;S5;S5_b;29,99;4
201909;S5;S5_c;;4
201909;S6;S6_a;0;4
201909;S6;S6_b;1,45;4
201909;S6;S6_c;4,34;4
201910;S1;S1_a;25,86;1
201910;S1;S1_b;49,94;1
201910;S1;S1_c;18,8;1
201910;S1;S1b_a;51,23;1
